#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0434843      0.0434843              0
              2      0.0331008      0.0382926     0.00367111
              3      0.0370727       0.037886     0.00246982
              4      0.0369025      0.0376401     0.00186457
              5      0.0357785      0.0372678     0.00152837
              6      0.0419306      0.0380449     0.00145789
              7       0.036838      0.0378725     0.00125978
              8      0.0303702      0.0369347     0.00140875
              9      0.0281455      0.0359581     0.00155429
             10       0.024605      0.0348228     0.00176546
             11      0.0348843      0.0348284     0.00160497
             12      0.0411091      0.0353518     0.00155423
             13      0.0346298      0.0352962     0.00143566
             14      0.0347157      0.0352548     0.00133371
             15      0.0322579       0.035055     0.00125967
             16      0.0363256      0.0351344     0.00118345
             17      0.0321521       0.034959     0.00112676
             18      0.0317983      0.0347834     0.00107776
             19       0.037476      0.0349251     0.00103031
             20      0.0313438       0.034746    0.000994231
