#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.882384       0.882384              0
              2       0.868431       0.875408     0.00493309
              3       0.908613       0.886476     0.00961718
              4       0.919775       0.894801      0.0101981
              5       0.910853       0.898011     0.00864903
              6       0.906299       0.899393     0.00731699
              7       0.872607       0.895566     0.00720308
              8       0.881174       0.893767     0.00652351
              9       0.929823       0.897773     0.00692035
             10       0.890771       0.897073     0.00626364
             11       0.860898       0.893785     0.00650048
             12       0.897691        0.89411     0.00596692
             13       0.901892       0.894709     0.00553787
             14       0.887936       0.894225      0.0051634
             15       0.887065       0.893748     0.00484118
             16       0.909988       0.894763     0.00464379
             17       0.902099       0.895194     0.00439064
             18       0.883997       0.894572     0.00419054
             19       0.864626       0.892996     0.00425608
             20       0.885538       0.892623     0.00405958
