#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.249196       0.249196              0
              2       0.248918       0.249057    9.83249e-05
              3       0.243312       0.247142     0.00156489
              4       0.248163       0.247398     0.00119431
              5        0.24495       0.246908     0.00105095
              6       0.250687       0.247538     0.00104765
              7       0.246554       0.247397    0.000907378
              8       0.249579        0.24767    0.000833922
              9       0.251705       0.248118    0.000853321
             10        0.25218       0.248524    0.000859223
             11        0.25079        0.24873    0.000805419
             12       0.247645        0.24864    0.000743361
             13       0.245426       0.248393    0.000726129
             14       0.248326       0.248388    0.000674278
             15       0.248327       0.248384    0.000629338
             16       0.251423       0.248574    0.000618002
             17       0.245942       0.248419    0.000600722
             18       0.250845       0.248554     0.00058227
             19       0.247779       0.248513    0.000553051
             20       0.254154       0.248795     0.00059298
