#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        23.3728        23.3728              0
              2        24.6207        23.9968       0.441179
              3        25.3406        24.4447       0.469343
              4        23.4686        24.2007       0.410578
              5        24.1537        24.1913        0.32857
              6        26.3947        24.5585       0.432851
              7        24.5573        24.5583       0.371015
              8        25.8992         24.726       0.360516
              9        24.3267        24.6816       0.323177
             10        25.7148        24.7849       0.306931
             11        24.2149        24.7331       0.283368
             12        24.4324         24.708        0.26086
             13        25.0527        24.7345       0.242137
             14        25.0911          24.76       0.226177
             15        23.4244         24.671       0.227953
             16        25.4355        24.7188       0.218657
             17        24.0028        24.6766       0.209812
             18        25.6903         24.733       0.205575
             19        24.0131        24.6951       0.198215
             20        24.0465        24.6626       0.190939
