#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0433733      0.0433733              0
              2       0.033315      0.0383442     0.00355616
              3       0.036845      0.0378444     0.00240563
              4      0.0374417      0.0377438     0.00180633
              5      0.0350267      0.0372003     0.00152461
              6       0.042375      0.0380628     0.00149467
              7      0.0362417      0.0378026     0.00130359
              8        0.03077      0.0369235     0.00140614
              9      0.0315033      0.0363213     0.00137283
             10       0.021715      0.0348607     0.00185652
             11      0.0361067      0.0349739      0.0016912
             12      0.0376933      0.0352006     0.00156538
             13        0.03659      0.0353074     0.00144861
             14       0.033925      0.0352087      0.0013485
             15      0.0324783      0.0350267     0.00127082
             16       0.035765      0.0350728     0.00119223
             17      0.0308783      0.0348261     0.00114735
             18      0.0368567      0.0349389     0.00108914
             19      0.0323033      0.0348002     0.00104061
             20        0.03436      0.0347782    0.000988813
