#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583565   -0.583565           0
           2   -0.581851   -0.582708 0.000606226
           3   -0.584899   -0.583438 0.000720292
           4   -0.582315   -0.583157 0.000592462
           5   -0.583605   -0.583247 0.000480697
           6   -0.581453   -0.582948 0.000484698
           7   -0.583416   -0.583015 0.000420041
           8   -0.583083   -0.583023 0.000367622
           9   -0.581291   -0.582831 0.000373801
          10   -0.582528   -0.582801 0.000337645
          11   -0.582312   -0.582756 0.000309857
          12   -0.582944   -0.582772 0.000284431
          13   -0.582323   -0.582737 0.000264641
          14   -0.581795    -0.58267 0.000254158
          15   -0.583168   -0.582703 0.000239374
          16   -0.583691   -0.582765 0.000232234
          17   -0.582632   -0.582757 0.000218705
          18   -0.581592   -0.582692 0.000215919
          19   -0.584296   -0.582777 0.000220436
          20   -0.581835    -0.58273 0.000214388
