#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        78.1049        78.1049              0
              2         77.385        77.7449       0.254523
              3          76.47        77.3199       0.386261
              4        81.7322         78.423        0.99824
              5        80.4306        78.8245       0.875631
              6        79.2759        78.8997       0.732918
              7        81.0726        79.2102        0.69083
              8        77.6965         79.021       0.629854
              9         80.167        79.1483       0.572596
             10         77.518        78.9853       0.538046
             11        79.9305        79.0712       0.495947
             12        76.9673        78.8959       0.484618
             13        76.0553        78.6774       0.494152
             14        82.1501        78.9254       0.517383
             15        80.1218        79.0052       0.488999
             16        76.9708         78.878        0.47468
             17        79.5193        78.9157       0.448254
             18         80.741        79.0171        0.43467
             19        79.5864        79.0471       0.412824
             20        79.9707        79.0933       0.394757
