#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.972907   -0.972907           0
           2   -0.972138   -0.972522 0.000272095
           3   -0.971878   -0.972308 0.000252242
           4   -0.977011   -0.973484  0.00103575
           5   -0.975509   -0.973889 0.000904339
           6   -0.974408   -0.973975 0.000757747
           7   -0.976357   -0.974315 0.000721849
           8   -0.972672    -0.97411 0.000660202
           9   -0.975298   -0.974242 0.000599889
          10   -0.971768   -0.973995 0.000588707
          11   -0.974515   -0.974042 0.000537087
          12   -0.972219    -0.97389 0.000513359
          13   -0.971651   -0.973718 0.000501925
          14   -0.977189   -0.973966  0.00052374
          15   -0.975562   -0.974072 0.000499513
          16   -0.971482    -0.97391 0.000493836
          17   -0.974712   -0.973957 0.000467034
          18   -0.976109   -0.974077 0.000456126
          19   -0.974669   -0.974108 0.000433182
          20   -0.975059   -0.974156 0.000414125
