#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.588135       0.588135              0
              2       0.576078       0.582107     0.00426268
              3       0.676129       0.613447       0.025747
              4       0.709788       0.637533      0.0284246
              5       0.694156       0.648857      0.0248936
              6       0.656136        0.65007      0.0207742
              7        0.61577        0.64517      0.0183753
              8       0.641383       0.644697      0.0160845
              9       0.712488       0.652229      0.0159639
             10       0.708802       0.657887      0.0153372
             11       0.636864       0.655975      0.0140614
             12       0.650717       0.655537      0.0128965
             13       0.672742       0.656861      0.0119722
             14       0.672923       0.658008      0.0111718
             15       0.724769       0.662459      0.0112788
             16       0.700472       0.664835      0.0108212
             17       0.684086       0.665967      0.0102438
             18       0.656893       0.665463     0.00968707
             19       0.710302       0.667823     0.00946033
             20       0.678445       0.668354     0.00900221
