#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0390308      0.0390308              0
              2      0.0392738      0.0391523    8.59407e-05
              3      0.0414062      0.0399036    0.000616089
              4      0.0416169      0.0403319    0.000592544
              5      0.0408262      0.0404308    0.000482209
              6      0.0391215      0.0402126    0.000448502
              7         0.0431      0.0406251    0.000541875
              8      0.0326338      0.0396262      0.0010478
              9      0.0329415      0.0388834     0.00116526
             10      0.0395585      0.0389509     0.00105069
             11      0.0409877      0.0391361    0.000971347
             12      0.0359169      0.0388678    0.000926706
             13      0.0350046      0.0385707     0.00090181
             14      0.0394154       0.038631    0.000839411
             15      0.0365277      0.0384908    0.000795076
             16      0.0413246      0.0386679    0.000764857
             17      0.0382569      0.0386437    0.000720247
             18      0.0359615      0.0384947    0.000695476
             19      0.0430569      0.0387348    0.000699095
             20      0.0379385       0.038695    0.000665274
