#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.914903       0.914903              0
              2        0.83052       0.872712       0.029834
              3       0.853183       0.866202      0.0205872
              4       0.921622       0.880057      0.0195545
              5       0.911099       0.886266      0.0165999
              6       0.904356       0.889281      0.0141044
              7       0.910275        0.89228      0.0124043
              8       0.922258       0.896027      0.0114057
              9       0.918234       0.898494      0.0104019
             10       0.905437       0.899189     0.00938483
             11       0.840594       0.893862     0.00992896
             12       0.920086       0.896047     0.00933895
             13       0.868611       0.893937     0.00885582
             14       0.919142       0.895737     0.00840427
             15       0.930954       0.898085     0.00816533
             16       0.867909       0.896199      0.0078698
             17       0.843458       0.893097     0.00799502
             18       0.926474       0.894951     0.00776291
             19       0.866306       0.893443      0.0074993
             20       0.902715       0.893907     0.00713865
