#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0573438      0.0573438              0
              2      0.0500887      0.0537163     0.00256503
              3      0.0676775        0.05837     0.00416682
              4      0.0593737      0.0586209     0.00313267
              5      0.0552913       0.057955     0.00257594
              6      0.0590125      0.0581312     0.00215264
              7      0.0624437      0.0587473     0.00193127
              8       0.055635      0.0583583      0.0017286
              9      0.0596487      0.0585017     0.00154247
             10      0.0572212      0.0583736     0.00139353
             11      0.0545237      0.0580236     0.00131005
             12      0.0610875       0.058279     0.00122551
             13      0.0585125      0.0582969     0.00113137
             14      0.0496013      0.0576758     0.00120909
             15       0.064955      0.0581611       0.001222
             16      0.0600888      0.0582816     0.00115155
             17      0.0581575      0.0582743     0.00108383
             18       0.057455      0.0582287     0.00102458
             19      0.0533137      0.0579701     0.00100278
             20      0.0500075      0.0575719     0.00102864
