#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.937772   -0.937772           0
           2   -0.928243   -0.933007  0.00336877
           3   -0.934368   -0.933461  0.00227618
           4   -0.936895    -0.93432    0.001862
           5   -0.933342   -0.934124  0.00149984
           6   -0.934008   -0.934105  0.00124999
           7   -0.936727   -0.934479  0.00112614
           8   -0.933497   -0.934356  0.00099205
           9   -0.935625   -0.934497 0.000891779
          10   -0.932962   -0.934344 0.000815717
          11   -0.935592   -0.934457 0.000749407
          12    -0.93521    -0.93452 0.000689577
          13   -0.932937   -0.934398 0.000647199
          14   -0.932878    -0.93429 0.000610008
          15   -0.935425   -0.934365 0.000574017
          16   -0.939362   -0.934678 0.000617264
          17   -0.931777   -0.934507 0.000604081
          18   -0.935978   -0.934589 0.000576025
          19   -0.933938   -0.934554 0.000546724
          20   -0.934145   -0.934534 0.000519771
