#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.50449    -0.50449           0
           2   -0.503057   -0.503773  0.00050676
           3   -0.505417   -0.504321 0.000560514
           4   -0.504787   -0.504438 0.000432301
           5    -0.50332   -0.504214 0.000399459
           6   -0.505977   -0.504508 0.000427472
           7   -0.505007   -0.504579 0.000372298
           8   -0.504483   -0.504567 0.000325953
           9   -0.503377   -0.504435 0.000315433
          10   -0.505873   -0.504579 0.000314988
          11   -0.504163   -0.504541 0.000288607
          12    -0.50399   -0.504495 0.000268183
          13    -0.50514   -0.504545 0.000252101
          14   -0.505187    -0.50459 0.000238229
          15    -0.50451   -0.504585 0.000222407
          16   -0.506477   -0.504703 0.000237861
          17     -0.5036   -0.504638 0.000232555
          18   -0.505177   -0.504668  0.00022155
          19   -0.504387   -0.504654 0.000210385
          20   -0.504247   -0.504633 0.000200846
