#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0753012      0.0753012              0
              2      0.0622306      0.0687659     0.00462115
              3      0.0675165      0.0683494     0.00309948
              4      0.0814082      0.0716141     0.00366026
              5      0.0622459      0.0697405     0.00337385
              6      0.0738918      0.0704324     0.00288161
              7      0.0637765      0.0694815     0.00262214
              8      0.0728765      0.0699059     0.00232846
              9      0.0756306       0.070542     0.00215487
             10      0.0688765      0.0703754     0.00194581
             11        0.06946      0.0702922      0.0017707
             12      0.0668118      0.0700022     0.00164672
             13      0.0561965      0.0689402     0.00183073
             14      0.0629365      0.0685113     0.00174947
             15      0.0697153      0.0685916     0.00163468
             16      0.0652965      0.0683857     0.00154543
             17      0.0689965      0.0684216     0.00145494
             18      0.0530482      0.0675675     0.00160534
             19      0.0738741      0.0678994     0.00155478
             20      0.0728565      0.0681473     0.00149667
