#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1        0.23207        0.23207              0
              2       0.229607       0.230838    0.000870697
              3       0.229092       0.230256     0.00075012
              4       0.227301       0.229517    0.000852041
              5       0.228283        0.22927    0.000716531
              6       0.229545       0.229316    0.000598574
              7       0.228786       0.229241    0.000517835
              8       0.228404       0.229136    0.000463547
              9       0.229476       0.229174    0.000413582
             10       0.233126       0.229569    0.000528336
             11       0.230553       0.229658    0.000487828
             12       0.228123        0.22953    0.000463661
             13       0.226938       0.229331    0.000468925
             14       0.229577       0.229349    0.000435758
             15       0.225783       0.229111     0.00046707
             16       0.227412       0.229005    0.000449781
             17       0.230862       0.229114    0.000436386
             18       0.232942       0.229327    0.000461071
             19       0.225349       0.229117    0.000481991
             20       0.229018       0.229112    0.000457917
