#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.270623       0.270623              0
              2       0.274908       0.272766     0.00151502
              3       0.266183       0.270572     0.00205676
              4       0.271502       0.270804     0.00155567
              5       0.269253       0.270494     0.00127511
              6       0.268386       0.270143     0.00110994
              7       0.269209       0.270009    0.000959362
              8       0.273549       0.270452    0.000935964
              9       0.272928       0.270727    0.000871472
             10       0.274278       0.271082    0.000853607
             11       0.272845       0.271242    0.000790912
             12       0.268271       0.270995    0.000762776
             13       0.267554        0.27073     0.00074862
             14        0.26977       0.270661    0.000698278
             15       0.271908       0.270744    0.000656656
             16       0.266289       0.270466     0.00067206
             17       0.272242        0.27057     0.00064059
             18       0.272003        0.27065    0.000609925
             19       0.274265        0.27084     0.00060677
             20       0.269995       0.270798    0.000577903
