#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555163   -0.555163           0
           2   -0.552586   -0.553874 0.000911158
           3   -0.555489   -0.554412 0.000749675
           4   -0.553849   -0.554271 0.000575354
           5   -0.556017   -0.554621 0.000556221
           6   -0.553629   -0.554455 0.000487471
           7   -0.553286   -0.554288 0.000445544
           8   -0.554743   -0.554345  0.00039346
           9   -0.556231   -0.554555 0.000401711
          10     -0.5549   -0.554589 0.000363022
          11    -0.55306    -0.55445 0.000355641
          12   -0.554357   -0.554442 0.000326089
          13   -0.555414   -0.554517 0.000309457
          14   -0.554194   -0.554494 0.000288211
          15   -0.555929    -0.55459 0.000284421
          16   -0.555486   -0.554646 0.000272101
          17   -0.554386    -0.55463 0.000256525
          18   -0.552951   -0.554537 0.000258677
          19   -0.552866   -0.554449  0.00025959
          20    -0.55478   -0.554466 0.000247137
