#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.289559       0.289559              0
              2       0.299383       0.294471     0.00347318
              3       0.312415       0.300452     0.00540497
              4       0.260064       0.290355     0.00963835
              5       0.263964       0.285077     0.00904119
              6       0.273369       0.283126     0.00774203
              7       0.258915       0.279667     0.00736822
              8        0.30547       0.282892     0.00711822
              9       0.297376       0.284502     0.00650669
             10       0.322805       0.288332     0.00689181
             11       0.261156       0.285861     0.00669345
             12        0.26275       0.283935     0.00640675
             13       0.255179       0.281723      0.0062842
             14        0.31812       0.284323     0.00635036
             15       0.303089       0.285574     0.00604898
             16        0.28619       0.285613     0.00567104
             17       0.280832       0.285331     0.00534442
             18         0.3682       0.289935     0.00674499
             19       0.274675       0.289132     0.00643763
             20       0.254674       0.287409     0.00634211
