#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.291674       0.291674              0
              2       0.291906        0.29179    8.21813e-05
              3       0.288882       0.290821    0.000793363
              4       0.292295       0.291189    0.000675204
              5       0.295377       0.292027    0.000923581
              6       0.297617       0.292958     0.00114709
              7       0.298116       0.293695     0.00119667
              8       0.291122       0.293373     0.00108947
              9       0.302541       0.294392     0.00136384
             10          0.287       0.293653     0.00141367
             11       0.292041       0.293506     0.00129272
             12       0.293662       0.293519     0.00118506
             13       0.291158       0.293338     0.00110773
             14       0.298882       0.293734     0.00109711
             15       0.295196       0.293831      0.0010283
             16       0.296065       0.293971    0.000973456
             17       0.294907       0.294026    0.000917751
             18       0.292213       0.293925    0.000872276
             19       0.292414       0.293846    0.000829987
             20        0.29452       0.293879    0.000789171
