#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1         2.9618         2.9618              0
              2         2.9558         2.9588     0.00212069
              3        2.89087        2.93616       0.018542
              4        2.94552         2.9385      0.0140535
              5        2.97048         2.9449       0.012615
              6         2.8767        2.93353      0.0147703
              7        2.93351        2.93353      0.0126602
              8        2.97338        2.93851       0.012018
              9        2.81485        2.92477      0.0167907
             10        2.93641        2.92593       0.015152
             11        2.96084        2.92911      0.0141029
             12        2.94967        2.93082      0.0130314
             13        2.94969        2.93227      0.0121096
             14        2.92868        2.93202      0.0112473
             15        3.08146        2.94198      0.0142424
             16        3.01579        2.94659      0.0140795
             17        2.94992        2.94679      0.0132526
             18        2.98698        2.94902      0.0127031
             19        2.94309        2.94871      0.0120383
             20        2.99751        2.95115       0.011681
