#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        4.41707        4.41707              0
              2        4.40551        4.41129     0.00408682
              3        4.26349        4.36202      0.0403172
              4        4.47393           4.39      0.0387472
              5        4.49724        4.41145      0.0364533
              6        4.48646        4.42395      0.0324508
              7        4.48609        4.43283      0.0290037
              8        4.39468        4.42806      0.0257673
              9        4.62866        4.45035      0.0310839
             10        4.31758        4.43707      0.0306803
             11        4.35036        4.42919      0.0288861
             12        4.48708        4.43401      0.0268788
             13        4.47331        4.43703      0.0249806
             14        4.36085        4.43159      0.0237816
             15        4.54511        4.43916      0.0233693
             16        4.36471        4.43451      0.0223671
             17        4.41528        4.43338        0.02108
             18        4.49891        4.43702      0.0202208
             19        4.42049        4.43615      0.0191752
             20        4.17344        4.42301      0.0222653
