#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -0.613      -0.613           0
           2   -0.612793   -0.612896 7.33623e-05
           3   -0.614015   -0.613269 0.000308388
           4   -0.612323   -0.613033 0.000309037
           5     -0.6123   -0.612886 0.000279808
           6    -0.61212   -0.612758 0.000260676
           7   -0.612745   -0.612756 0.000223444
           8   -0.613895   -0.612899 0.000236535
           9     -0.6115   -0.612743 0.000256275
          10   -0.612113    -0.61268 0.000238285
          11   -0.613685   -0.612772 0.000233474
          12   -0.613903   -0.612866 0.000232261
          13   -0.614115   -0.612962 0.000233427
          14   -0.612625   -0.612938 0.000217991
          15    -0.61441   -0.613036 0.000224466
          16   -0.614548    -0.61313 0.000229457
          17   -0.612618     -0.6131 0.000217934
          18     -0.6141   -0.613156 0.000212786
          19   -0.613908   -0.613195 0.000205231
          20   -0.614743   -0.613273  0.00020904
